time,open,high,low,close,volume
2024-12-12 17:43:00+09:00,2.4312,2.4325,2.4305,2.4321,338102.8
2024-12-12 17:44:00+09:00,2.4322,2.4325,2.4305,2.4310,506669.3
2024-12-12 17:45:00+09:00,2.4310,2.4334,2.4306,2.4331,373507.6
2024-12-12 17:46:00+09:00,2.4331,2.4333,2.4284,2.4299,1688655.2
2024-12-12 17:47:00+09:00,2.4299,2.4328,2.4290,2.4324,440796.2
2024-12-12 17:48:00+09:00,2.4325,2.4349,2.4323,2.4340,457847.9
2024-12-12 17:49:00+09:00,2.4340,2.4340,2.4319,2.4319,260750.0
2024-12-12 17:50:00+09:00,2.4319,2.4326,2.4288,2.4298,530404.9
2024-12-12 17:51:00+09:00,2.4298,2.4328,2.4297,2.4313,337153.1
2024-12-12 17:52:00+09:00,2.4314,2.4324,2.4306,2.4307,262093.5
2024-12-12 17:53:00+09:00,2.4306,2.4309,2.4275,2.4278,974537.5
2024-12-12 17:54:00+09:00,2.4279,2.4293,2.4273,2.4290,297021.6
2024-12-12 17:55:00+09:00,2.4289,2.4321,2.4289,2.4319,282635.3
2024-12-12 17:56:00+09:00,2.4318,2.4350,2.4301,2.4338,420620.8
2024-12-12 17:57:00+09:00,2.4338,2.4367,2.4337,2.4365,408219.3
2024-12-12 17:58:00+09:00,2.4364,2.4364,2.4329,2.4329,289158.4
2024-12-12 17:59:00+09:00,2.4329,2.4344,2.4325,2.4340,271593.7
2024-12-12 18:00:00+09:00,2.4339,2.4366,2.4335,2.4361,379186.0
2024-12-12 18:01:00+09:00,2.4361,2.4361,2.4334,2.4351,292838.5
2024-12-12 18:02:00+09:00,2.4352,2.4387,2.4352,2.4379,457425.9
2024-12-12 18:03:00+09:00,2.4379,2.4439,2.4373,2.4430,1776586.5
2024-12-12 18:04:00+09:00,2.4430,2.4470,2.4429,2.4468,721939.9
2024-12-12 18:05:00+09:00,2.4468,2.4470,2.4423,2.4431,561036.9
2024-12-12 18:06:00+09:00,2.4431,2.4450,2.4420,2.4432,632325.7
2024-12-12 18:07:00+09:00,2.4432,2.4432,2.4390,2.4410,691781.5
2024-12-12 18:08:00+09:00,2.4410,2.4413,2.4372,2.4392,572106.7
